	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	1	1	2	2	3	4	5	6	7	8	9	10	12	13	14	16	18	21	25	30	36	43	51	60
2	2	2	3	3	4	5	6	8	10	12	14	16	18	20	22	24	27	29	33	38	44	51	60	70
3	5	6	7	8	10	12	15	17	20	22	24	27	30	33	36	44	48	58	64	70	85	105	115	126
4	7	8	9	10	12	15	17	20	22	25	27	31	35	40	48	60	75	85	95	108	122	137	153	170
5	9	11	12	15	18	21	24	26	28	31	35	41	47	54	64	73	89	100	110	124	138	153	169	187
6	10	13	15	18	21	23	26	29	33	37	43	47	53	60	72	80	95	105	115	127	142	158	175	x
7	11	15	17	20	23	25	28	32	37	42	47	52	57	64	76	86	100	110	120	132	150	159	x	
8	13	16	18	22	25	27	31	35	40	45	52	58	62	70	82	92	110	120	130	143	162	178		
9	14	17	19	24	27	29	33	38	42	47	54	61	66	75	87	98	118	129	140	154	174	195		
10	15	18	20	25	28	30	34	39	44	49	55	63	68	80	89	105	124	138	150	165	186	208		
11	16	19	21	26	29	31	36	41	46	50	57	65	70	82	91	110	130	149	160	176	198	x		
12	17	20	22	27	30	33	38	43	48	54	60	66	74	85	95	112	136	156	170	186	209			
13	18	21	23	28	31	35	40	44	50	56	62	68	75	88	100	115	142	160	175	192	214			
14	19	22	24	29	33	36	41	45	51	58	64	71	80	90	105	120	146	165	180	200	222			
15	20	23	25	28	32	37	42	47	52	60	66	73	82	93	110	122	150	170	185	210	233			
16	22	24	27	31	35	38	43	48	53	61	68	75	84	96	114	127	154	172	188	215	239			
17	24	26	29	32	36	40	45	49	55	62	70	77	86	100	118	132	158	175	190	220	245			
18	26	28	31	33	38	41	47	52	57	63	72	79	90	102	122	136	160	178	195	228	x			
19	27	29	32	36	40	45	50	55	60	65	75	81	92	104	124	138	165	184	200	233				
20	28	30	33	38	42	47	52	57	62	68	78	83	93	107	126	141	170	190	205	239				
21	30	32	35	39	43	48	53	58	63	70	80	86	95	110	128	143	175	195	210	246				
22	32	34	36	40	44	49	54	59	64	72	82	88	97	112	130	145	178	200	215	x				
23	33	35	38	41	45	50	56	60	65	74	85	91	100	115	131	147	182	204	220					
24	34	37	40	43	47	52	58	62	67	76	87	94	105	118	132	149	185	208	225					
25	35	38	42	44	49	55	60	64	70	79	90	98	107	120	134	150	188	212	230					
26	35	38	42	45	50	56	61	65	72	80	92	100	110	125	136	152	192	216	235					
27	35	38	43	46	51	57	62	66	74	82	94	102	112	126	138	155	194	220	240					
28	36	39	43	46	52	58	63	67	75	84	95	103	115	128	141	158	197	224	245					
29	36	39	43	46	52	59	64	68	76	85	97	105	117	130	145	161	200	227	250					
30	36	39	44	47	53	60	65	69	77	87	100	106	120	132	149	164	202	230	255					
31	36	39	44	47	53	61	66	70	78	88	102	107	121	134	152	170	205	233	260					
32	37	39	44	47	54	62	67	71	79	90	103	109	122	136	155	175	210	236	265					
33	37	39	45	48	54	62	68	72	80	92	105	111	123	140	157	177	212	239	270					
34	37	40	45	48	55	63	69	73	81	94	106	114	125	144	160	179	216	242	275					
35	38	40	45	48	55	63	70	74	82	95	107	116	127	148	164	182	220	245	280					
36	38	41	45	49	56	64	71	75	83	97	109	118	130	152	167	184	222	248	285					
